Lectura,Descripción,Temperatura,Bulbo húmedo,Punto de condensación,% HR,CO,CO2,% aire exterior,Velocidad,Flujo de aire,Sello de tiempo
662,,29.9 °C,19.3 °C,14.6 °C,39.4 %,1 ppm,465 ppm,,,,11/02/2025 08:46:05 p. m.
663,,29.9 °C,19.3 °C,14.6 °C,39.5 %,1 ppm,459 ppm,,,,11/02/2025 08:47:05 p. m.
664,,29.9 °C,19.3 °C,14.6 °C,39.5 %,1 ppm,453 ppm,,,,11/02/2025 08:48:05 p. m.
665,,29.9 °C,19.3 °C,14.6 °C,39.5 %,1 ppm,451 ppm,,,,11/02/2025 08:49:05 p. m.
666,,29.9 °C,19.3 °C,14.6 °C,39.5 %,1 ppm,457 ppm,,,,11/02/2025 08:50:05 p. m.
667,,29.9 °C,19.3 °C,14.6 °C,39.5 %,0 ppm,457 ppm,,,,11/02/2025 08:51:05 p. m.
668,,29.9 °C,19.3 °C,14.6 °C,39.5 %,0 ppm,456 ppm,,,,11/02/2025 08:52:05 p. m.
669,,29.9 °C,19.3 °C,14.6 °C,39.5 %,1 ppm,468 ppm,,,,11/02/2025 08:53:05 p. m.
670,,29.9 °C,19.3 °C,14.6 °C,39.5 %,1 ppm,464 ppm,,,,11/02/2025 08:54:05 p. m.
671,,29.9 °C,19.3 °C,14.6 °C,39.5 %,1 ppm,457 ppm,,,,11/02/2025 08:55:05 p. m.
672,,29.9 °C,19.3 °C,14.6 °C,39.6 %,1 ppm,457 ppm,,,,11/02/2025 08:56:05 p. m.
673,,29.9 °C,19.3 °C,14.6 °C,39.6 %,1 ppm,456 ppm,,,,11/02/2025 08:57:05 p. m.
674,,29.9 °C,19.3 °C,14.6 °C,39.6 %,1 ppm,450 ppm,,,,11/02/2025 08:58:05 p. m.
675,,29.9 °C,19.3 °C,14.6 °C,39.6 %,1 ppm,456 ppm,,,,11/02/2025 08:59:05 p. m.
676,,29.8 °C,19.2 °C,14.5 °C,39.6 %,0 ppm,449 ppm,,,,11/02/2025 09:00:05 p. m.
677,,29.8 °C,19.3 °C,14.6 °C,39.7 %,1 ppm,457 ppm,,,,11/02/2025 09:01:05 p. m.
678,,29.8 °C,19.2 °C,14.5 °C,39.6 %,1 ppm,456 ppm,,,,11/02/2025 09:02:05 p. m.
679,,29.8 °C,19.2 °C,14.5 °C,39.6 %,1 ppm,463 ppm,,,,11/02/2025 09:03:05 p. m.
680,,29.8 °C,19.3 °C,14.6 °C,39.7 %,1 ppm,457 ppm,,,,11/02/2025 09:04:05 p. m.
681,,29.8 °C,19.3 °C,14.6 °C,39.7 %,1 ppm,455 ppm,,,,11/02/2025 09:05:05 p. m.
682,,29.8 °C,19.3 °C,14.6 °C,39.7 %,1 ppm,463 ppm,,,,11/02/2025 09:06:05 p. m.
683,,29.8 °C,19.3 °C,14.6 °C,39.7 %,1 ppm,458 ppm,,,,11/02/2025 09:07:05 p. m.
684,,29.8 °C,19.3 °C,14.6 °C,39.8 %,1 ppm,458 ppm,,,,11/02/2025 09:08:05 p. m.
685,,29.8 °C,19.3 °C,14.6 °C,39.7 %,1 ppm,460 ppm,,,,11/02/2025 09:09:05 p. m.
686,,29.8 °C,19.3 °C,14.6 °C,39.8 %,1 ppm,456 ppm,,,,11/02/2025 09:10:05 p. m.
687,,29.8 °C,19.3 °C,14.6 °C,39.7 %,1 ppm,461 ppm,,,,11/02/2025 09:11:05 p. m.
688,,29.8 °C,19.3 °C,14.6 °C,39.8 %,1 ppm,464 ppm,,,,11/02/2025 09:12:05 p. m.
689,,29.8 °C,19.3 °C,14.6 °C,39.8 %,1 ppm,442 ppm,,,,11/02/2025 09:13:05 p. m.
690,,29.7 °C,19.2 °C,14.5 °C,39.8 %,1 ppm,456 ppm,,,,11/02/2025 09:14:05 p. m.
691,,29.7 °C,19.3 °C,14.6 °C,39.9 %,1 ppm,454 ppm,,,,11/02/2025 09:15:05 p. m.
692,,29.7 °C,19.2 °C,14.5 °C,39.8 %,1 ppm,457 ppm,,,,11/02/2025 09:16:05 p. m.
693,,29.7 °C,19.3 °C,14.6 °C,39.9 %,1 ppm,456 ppm,,,,11/02/2025 09:17:05 p. m.
694,,29.7 °C,19.3 °C,14.6 °C,39.9 %,0 ppm,453 ppm,,,,11/02/2025 09:18:05 p. m.
695,,29.7 °C,19.3 °C,14.6 °C,39.9 %,1 ppm,457 ppm,,,,11/02/2025 09:19:05 p. m.
696,,29.6 °C,19.2 °C,14.5 °C,40.0 %,1 ppm,452 ppm,,,,11/02/2025 09:20:05 p. m.
697,,29.6 °C,19.2 °C,14.5 °C,40.0 %,1 ppm,460 ppm,,,,11/02/2025 09:21:05 p. m.
698,,29.6 °C,19.2 °C,14.5 °C,40.0 %,1 ppm,457 ppm,,,,11/02/2025 09:22:05 p. m.
699,,29.6 °C,19.2 °C,14.5 °C,40.0 %,0 ppm,446 ppm,,,,11/02/2025 09:23:05 p. m.
700,,29.6 °C,19.2 °C,14.5 °C,40.0 %,1 ppm,453 ppm,,,,11/02/2025 09:24:05 p. m.
701,,29.6 °C,19.2 °C,14.5 °C,40.0 %,1 ppm,455 ppm,,,,11/02/2025 09:25:05 p. m.
702,,29.6 °C,19.2 °C,14.5 °C,40.1 %,1 ppm,454 ppm,,,,11/02/2025 09:26:05 p. m.
703,,29.6 °C,19.2 °C,14.6 °C,40.1 %,1 ppm,458 ppm,,,,11/02/2025 09:27:05 p. m.
704,,29.6 °C,19.2 °C,14.6 °C,40.1 %,1 ppm,452 ppm,,,,11/02/2025 09:28:05 p. m.
705,,29.6 °C,19.2 °C,14.6 °C,40.2 %,1 ppm,445 ppm,,,,11/02/2025 09:29:05 p. m.
706,,29.6 °C,19.2 °C,14.6 °C,40.1 %,0 ppm,452 ppm,,,,11/02/2025 09:30:05 p. m.
707,,29.5 °C,19.1 °C,14.5 °C,40.1 %,1 ppm,457 ppm,,,,11/02/2025 09:31:05 p. m.
708,,29.6 °C,19.2 °C,14.6 °C,40.2 %,1 ppm,450 ppm,,,,11/02/2025 09:32:05 p. m.
709,,29.6 °C,19.2 °C,14.6 °C,40.1 %,1 ppm,447 ppm,,,,11/02/2025 09:33:05 p. m.
710,,29.5 °C,19.1 °C,14.5 °C,40.2 %,1 ppm,454 ppm,,,,11/02/2025 09:34:05 p. m.
711,,29.5 °C,19.1 °C,14.5 °C,40.3 %,1 ppm,444 ppm,,,,11/02/2025 09:35:05 p. m.
712,,29.5 °C,19.1 °C,14.5 °C,40.3 %,1 ppm,449 ppm,,,,11/02/2025 09:36:05 p. m.
713,,29.4 °C,19.2 °C,14.6 °C,40.4 %,1 ppm,457 ppm,,,,11/02/2025 09:37:05 p. m.
714,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,447 ppm,,,,11/02/2025 09:38:05 p. m.
715,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,461 ppm,,,,11/02/2025 09:39:05 p. m.
716,,29.5 °C,19.2 °C,14.6 °C,40.4 %,1 ppm,450 ppm,,,,11/02/2025 09:40:05 p. m.
717,,29.5 °C,19.2 °C,14.6 °C,40.4 %,1 ppm,459 ppm,,,,11/02/2025 09:41:05 p. m.
718,,29.5 °C,19.2 °C,14.6 °C,40.4 %,1 ppm,451 ppm,,,,11/02/2025 09:42:05 p. m.
719,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,450 ppm,,,,11/02/2025 09:43:05 p. m.
720,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,456 ppm,,,,11/02/2025 09:44:05 p. m.
721,,29.5 °C,19.2 °C,14.6 °C,40.4 %,1 ppm,458 ppm,,,,11/02/2025 09:45:05 p. m.
722,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,454 ppm,,,,11/02/2025 09:46:05 p. m.
723,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,452 ppm,,,,11/02/2025 09:47:05 p. m.
724,,29.4 °C,19.1 °C,14.5 °C,40.4 %,0 ppm,455 ppm,,,,11/02/2025 09:48:05 p. m.
725,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,452 ppm,,,,11/02/2025 09:49:05 p. m.
726,,29.4 °C,19.1 °C,14.5 °C,40.5 %,1 ppm,440 ppm,,,,11/02/2025 09:50:05 p. m.
727,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,449 ppm,,,,11/02/2025 09:51:05 p. m.
728,,29.4 °C,19.1 °C,14.5 °C,40.4 %,1 ppm,454 ppm,,,,11/02/2025 09:52:05 p. m.
729,,29.4 °C,19.1 °C,14.5 °C,40.5 %,1 ppm,446 ppm,,,,11/02/2025 09:53:05 p. m.
730,,29.4 °C,19.1 °C,14.5 °C,40.5 %,1 ppm,460 ppm,,,,11/02/2025 09:54:05 p. m.
731,,29.3 °C,19.1 °C,14.5 °C,40.6 %,1 ppm,450 ppm,,,,11/02/2025 09:55:05 p. m.
732,,29.4 °C,19.1 °C,14.5 °C,40.5 %,1 ppm,456 ppm,,,,11/02/2025 09:56:05 p. m.
733,,29.4 °C,19.1 °C,14.5 °C,40.5 %,1 ppm,450 ppm,,,,11/02/2025 09:57:05 p. m.
734,,29.4 °C,19.1 °C,14.5 °C,40.5 %,1 ppm,455 ppm,,,,11/02/2025 09:58:05 p. m.
735,,29.4 °C,19.1 °C,14.5 °C,40.5 %,1 ppm,449 ppm,,,,11/02/2025 09:59:05 p. m.
736,,29.4 °C,19.1 °C,14.5 °C,40.5 %,1 ppm,444 ppm,,,,11/02/2025 10:00:05 p. m.
737,,29.4 °C,19.1 °C,14.5 °C,40.6 %,1 ppm,445 ppm,,,,11/02/2025 10:01:05 p. m.
738,,29.3 °C,19.1 °C,14.5 °C,40.6 %,1 ppm,452 ppm,,,,11/02/2025 10:02:05 p. m.
739,,29.3 °C,19.1 °C,14.5 °C,40.6 %,1 ppm,440 ppm,,,,11/02/2025 10:03:05 p. m.
740,,29.3 °C,19.1 °C,14.5 °C,40.6 %,1 ppm,448 ppm,,,,11/02/2025 10:04:05 p. m.
741,,29.2 °C,19.1 °C,14.5 °C,40.7 %,0 ppm,458 ppm,,,,11/02/2025 10:05:05 p. m.
742,,29.3 °C,19.0 °C,14.4 °C,40.8 %,1 ppm,451 ppm,,,,11/02/2025 10:06:05 p. m.
743,,29.3 °C,19.1 °C,14.5 °C,40.7 %,1 ppm,446 ppm,,,,11/02/2025 10:07:05 p. m.
744,,29.3 °C,19.0 °C,14.4 °C,40.8 %,1 ppm,462 ppm,,,,11/02/2025 10:08:05 p. m.
745,,29.2 °C,19.1 °C,14.5 °C,40.7 %,1 ppm,442 ppm,,,,11/02/2025 10:09:05 p. m.
746,,29.2 °C,19.0 °C,14.4 °C,40.8 %,1 ppm,463 ppm,,,,11/02/2025 10:10:05 p. m.
747,,29.3 °C,19.1 °C,14.5 °C,40.7 %,1 ppm,448 ppm,,,,11/02/2025 10:11:05 p. m.
748,,29.3 °C,19.1 °C,14.5 °C,40.7 %,1 ppm,453 ppm,,,,11/02/2025 10:12:05 p. m.
749,,29.2 °C,19.1 °C,14.5 °C,40.8 %,0 ppm,449 ppm,,,,11/02/2025 10:13:05 p. m.
750,,29.2 °C,19.1 °C,14.5 °C,40.8 %,1 ppm,451 ppm,,,,11/02/2025 10:14:05 p. m.
751,,29.3 °C,19.1 °C,14.5 °C,40.7 %,1 ppm,463 ppm,,,,11/02/2025 10:15:05 p. m.
752,,29.2 °C,19.1 °C,14.5 °C,40.8 %,1 ppm,441 ppm,,,,11/02/2025 10:16:05 p. m.
753,,29.2 °C,19.1 °C,14.5 °C,40.9 %,1 ppm,441 ppm,,,,11/02/2025 10:17:05 p. m.
754,,29.2 °C,19.1 °C,14.5 °C,40.9 %,1 ppm,453 ppm,,,,11/02/2025 10:18:05 p. m.
755,,29.2 °C,19.1 °C,14.5 °C,40.8 %,1 ppm,460 ppm,,,,11/02/2025 10:19:05 p. m.
756,,29.2 °C,19.1 °C,14.5 °C,40.8 %,1 ppm,450 ppm,,,,11/02/2025 10:20:05 p. m.
757,,29.2 °C,19.1 °C,14.5 °C,40.8 %,1 ppm,451 ppm,,,,11/02/2025 10:21:05 p. m.
758,,29.2 °C,19.1 °C,14.5 °C,40.9 %,1 ppm,451 ppm,,,,11/02/2025 10:22:05 p. m.
759,,29.2 °C,19.1 °C,14.5 °C,40.8 %,1 ppm,439 ppm,,,,11/02/2025 10:23:05 p. m.
760,,29.2 °C,19.1 °C,14.5 °C,40.8 %,1 ppm,446 ppm,,,,11/02/2025 10:24:05 p. m.
761,,29.2 °C,19.1 °C,14.5 °C,40.8 %,1 ppm,444 ppm,,,,11/02/2025 10:25:05 p. m.
762,,29.2 °C,19.0 °C,14.4 °C,40.9 %,0 ppm,451 ppm,,,,11/02/2025 10:26:05 p. m.
763,,29.2 °C,19.1 °C,14.5 °C,40.9 %,1 ppm,441 ppm,,,,11/02/2025 10:27:05 p. m.
764,,29.1 °C,19.0 °C,14.4 °C,40.9 %,1 ppm,448 ppm,,,,11/02/2025 10:28:05 p. m.
765,,29.1 °C,19.0 °C,14.4 °C,41.0 %,1 ppm,455 ppm,,,,11/02/2025 10:29:05 p. m.
766,,29.1 °C,19.0 °C,14.4 °C,40.9 %,1 ppm,448 ppm,,,,11/02/2025 10:30:05 p. m.
767,,29.1 °C,19.0 °C,14.4 °C,41.0 %,0 ppm,440 ppm,,,,11/02/2025 10:31:05 p. m.
768,,29.1 °C,19.0 °C,14.5 °C,41.1 %,1 ppm,460 ppm,,,,11/02/2025 10:32:05 p. m.
769,,29.0 °C,19.0 °C,14.4 °C,41.1 %,1 ppm,430 ppm,,,,11/02/2025 10:33:05 p. m.
770,,29.1 °C,19.0 °C,14.5 °C,41.1 %,1 ppm,448 ppm,,,,11/02/2025 10:34:05 p. m.
771,,29.0 °C,19.0 °C,14.4 °C,41.1 %,1 ppm,443 ppm,,,,11/02/2025 10:35:05 p. m.
772,,29.0 °C,19.0 °C,14.4 °C,41.1 %,1 ppm,449 ppm,,,,11/02/2025 10:36:05 p. m.
773,,29.0 °C,18.9 °C,14.4 °C,41.1 %,1 ppm,445 ppm,,,,11/02/2025 10:37:05 p. m.
774,,29.0 °C,19.0 °C,14.4 °C,41.2 %,1 ppm,458 ppm,,,,11/02/2025 10:38:05 p. m.
775,,29.0 °C,19.0 °C,14.4 °C,41.2 %,1 ppm,455 ppm,,,,11/02/2025 10:39:05 p. m.
776,,29.0 °C,19.0 °C,14.4 °C,41.1 %,0 ppm,449 ppm,,,,11/02/2025 10:40:05 p. m.
777,,29.0 °C,18.9 °C,14.4 °C,41.1 %,1 ppm,450 ppm,,,,11/02/2025 10:41:05 p. m.
778,,29.0 °C,19.0 °C,14.4 °C,41.1 %,1 ppm,455 ppm,,,,11/02/2025 10:42:05 p. m.
779,,29.0 °C,19.0 °C,14.4 °C,41.1 %,1 ppm,440 ppm,,,,11/02/2025 10:43:05 p. m.
780,,29.0 °C,18.9 °C,14.4 °C,41.1 %,1 ppm,449 ppm,,,,11/02/2025 10:44:05 p. m.
781,,29.0 °C,18.9 °C,14.4 °C,41.2 %,1 ppm,450 ppm,,,,11/02/2025 10:45:05 p. m.
782,,28.9 °C,18.9 °C,14.3 °C,41.1 %,1 ppm,450 ppm,,,,11/02/2025 10:46:05 p. m.
783,,28.9 °C,18.9 °C,14.3 °C,41.1 %,1 ppm,441 ppm,,,,11/02/2025 10:47:05 p. m.
784,,29.0 °C,19.0 °C,14.4 °C,41.2 %,1 ppm,446 ppm,,,,11/02/2025 10:48:05 p. m.
785,,28.9 °C,18.9 °C,14.3 °C,41.1 %,1 ppm,451 ppm,,,,11/02/2025 10:49:05 p. m.
786,,28.9 °C,18.9 °C,14.3 °C,41.1 %,1 ppm,447 ppm,,,,11/02/2025 10:50:05 p. m.
787,,28.9 °C,18.9 °C,14.4 °C,41.2 %,1 ppm,450 ppm,,,,11/02/2025 10:51:05 p. m.
788,,28.9 °C,18.9 °C,14.3 °C,41.2 %,1 ppm,441 ppm,,,,11/02/2025 10:52:05 p. m.
789,,28.9 °C,18.9 °C,14.3 °C,41.2 %,1 ppm,444 ppm,,,,11/02/2025 10:53:05 p. m.
790,,28.9 °C,18.9 °C,14.4 °C,41.2 %,1 ppm,445 ppm,,,,11/02/2025 10:54:05 p. m.
791,,28.9 °C,18.9 °C,14.3 °C,41.2 %,1 ppm,453 ppm,,,,11/02/2025 10:55:05 p. m.
792,,29.0 °C,18.9 °C,14.4 °C,41.2 %,1 ppm,449 ppm,,,,11/02/2025 10:56:05 p. m.
793,,28.9 °C,18.9 °C,14.3 °C,41.1 %,1 ppm,448 ppm,,,,11/02/2025 10:57:05 p. m.
794,,28.9 °C,18.9 °C,14.3 °C,41.1 %,0 ppm,445 ppm,,,,11/02/2025 10:58:05 p. m.
795,,28.9 °C,18.9 °C,14.3 °C,41.1 %,1 ppm,442 ppm,,,,11/02/2025 10:59:05 p. m.
796,,28.9 °C,18.9 °C,14.4 °C,41.2 %,1 ppm,447 ppm,,,,11/02/2025 11:00:05 p. m.
797,,28.9 °C,18.9 °C,14.4 °C,41.2 %,0 ppm,450 ppm,,,,11/02/2025 11:01:05 p. m.
798,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,448 ppm,,,,11/02/2025 11:02:05 p. m.
799,,28.9 °C,18.9 °C,14.3 °C,41.2 %,1 ppm,445 ppm,,,,11/02/2025 11:03:05 p. m.
800,,28.8 °C,18.8 °C,14.3 °C,41.2 %,1 ppm,451 ppm,,,,11/02/2025 11:04:05 p. m.
801,,28.8 °C,18.8 °C,14.3 °C,41.2 %,1 ppm,449 ppm,,,,11/02/2025 11:05:05 p. m.
802,,28.8 °C,18.8 °C,14.3 °C,41.2 %,1 ppm,448 ppm,,,,11/02/2025 11:06:05 p. m.
803,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,443 ppm,,,,11/02/2025 11:07:05 p. m.
804,,28.8 °C,18.8 °C,14.3 °C,41.2 %,1 ppm,441 ppm,,,,11/02/2025 11:08:05 p. m.
805,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,434 ppm,,,,11/02/2025 11:09:05 p. m.
806,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,438 ppm,,,,11/02/2025 11:10:05 p. m.
807,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,447 ppm,,,,11/02/2025 11:11:05 p. m.
808,,28.8 °C,18.8 °C,14.3 °C,41.3 %,0 ppm,447 ppm,,,,11/02/2025 11:12:05 p. m.
809,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,445 ppm,,,,11/02/2025 11:13:05 p. m.
810,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,439 ppm,,,,11/02/2025 11:14:05 p. m.
811,,28.8 °C,18.8 °C,14.3 °C,41.3 %,0 ppm,448 ppm,,,,11/02/2025 11:15:05 p. m.
812,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,443 ppm,,,,11/02/2025 11:16:05 p. m.
813,,28.8 °C,18.8 °C,14.3 °C,41.3 %,0 ppm,458 ppm,,,,11/02/2025 11:17:05 p. m.
814,,28.8 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,450 ppm,,,,11/02/2025 11:18:05 p. m.
815,,28.7 °C,18.8 °C,14.2 °C,41.4 %,1 ppm,443 ppm,,,,11/02/2025 11:19:05 p. m.
816,,28.8 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,437 ppm,,,,11/02/2025 11:20:05 p. m.
817,,28.8 °C,18.8 °C,14.3 °C,41.3 %,1 ppm,440 ppm,,,,11/02/2025 11:21:05 p. m.
818,,28.8 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,447 ppm,,,,11/02/2025 11:22:05 p. m.
819,,28.8 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,445 ppm,,,,11/02/2025 11:23:05 p. m.
820,,28.8 °C,18.8 °C,14.3 °C,41.3 %,0 ppm,437 ppm,,,,11/02/2025 11:24:05 p. m.
821,,28.7 °C,18.8 °C,14.2 °C,41.4 %,1 ppm,442 ppm,,,,11/02/2025 11:25:05 p. m.
822,,28.7 °C,18.8 °C,14.3 °C,41.5 %,0 ppm,450 ppm,,,,11/02/2025 11:26:05 p. m.
823,,28.7 °C,18.8 °C,14.3 °C,41.5 %,1 ppm,451 ppm,,,,11/02/2025 11:27:05 p. m.
824,,28.7 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,448 ppm,,,,11/02/2025 11:28:05 p. m.
825,,28.7 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,443 ppm,,,,11/02/2025 11:29:05 p. m.
826,,28.7 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,443 ppm,,,,11/02/2025 11:30:05 p. m.
827,,28.7 °C,18.8 °C,14.3 °C,41.5 %,1 ppm,437 ppm,,,,11/02/2025 11:31:05 p. m.
828,,28.7 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,445 ppm,,,,11/02/2025 11:32:05 p. m.
829,,28.7 °C,18.8 °C,14.3 °C,41.5 %,1 ppm,445 ppm,,,,11/02/2025 11:33:05 p. m.
830,,28.7 °C,18.8 °C,14.3 °C,41.5 %,1 ppm,442 ppm,,,,11/02/2025 11:34:05 p. m.
831,,28.7 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,455 ppm,,,,11/02/2025 11:35:05 p. m.
832,,28.7 °C,18.8 °C,14.3 °C,41.5 %,0 ppm,451 ppm,,,,11/02/2025 11:36:05 p. m.
833,,28.7 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,436 ppm,,,,11/02/2025 11:37:05 p. m.
834,,28.7 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,439 ppm,,,,11/02/2025 11:38:05 p. m.
835,,28.7 °C,18.7 °C,14.2 °C,41.5 %,0 ppm,451 ppm,,,,11/02/2025 11:39:05 p. m.
836,,28.6 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,448 ppm,,,,11/02/2025 11:40:05 p. m.
837,,28.7 °C,18.8 °C,14.3 °C,41.4 %,1 ppm,445 ppm,,,,11/02/2025 11:41:05 p. m.
838,,28.7 °C,18.8 °C,14.3 °C,41.5 %,1 ppm,439 ppm,,,,11/02/2025 11:42:05 p. m.
839,,28.6 °C,18.7 °C,14.2 °C,41.5 %,0 ppm,449 ppm,,,,11/02/2025 11:43:05 p. m.
840,,28.7 °C,18.8 °C,14.3 °C,41.5 %,0 ppm,453 ppm,,,,11/02/2025 11:44:05 p. m.
841,,28.7 °C,18.8 °C,14.3 °C,41.5 %,1 ppm,443 ppm,,,,11/02/2025 11:45:05 p. m.
842,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,440 ppm,,,,11/02/2025 11:46:05 p. m.
843,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,439 ppm,,,,11/02/2025 11:47:05 p. m.
844,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,445 ppm,,,,11/02/2025 11:48:05 p. m.
845,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,444 ppm,,,,11/02/2025 11:49:05 p. m.
846,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,436 ppm,,,,11/02/2025 11:50:05 p. m.
847,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,448 ppm,,,,11/02/2025 11:51:05 p. m.
848,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,446 ppm,,,,11/02/2025 11:52:05 p. m.
849,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,444 ppm,,,,11/02/2025 11:53:05 p. m.
850,,28.6 °C,18.7 °C,14.2 °C,41.5 %,1 ppm,440 ppm,,,,11/02/2025 11:54:05 p. m.
851,,28.6 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,455 ppm,,,,11/02/2025 11:55:05 p. m.
852,,28.6 °C,18.7 °C,14.2 °C,41.5 %,0 ppm,445 ppm,,,,11/02/2025 11:56:05 p. m.
853,,28.6 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,442 ppm,,,,11/02/2025 11:57:05 p. m.
854,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,438 ppm,,,,11/02/2025 11:58:05 p. m.
855,,28.5 °C,18.7 °C,14.2 °C,41.6 %,0 ppm,444 ppm,,,,11/02/2025 11:59:05 p. m.
856,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,446 ppm,,,,12/02/2025 12:00:05 a. m.
857,,28.5 °C,18.7 °C,14.2 °C,41.6 %,0 ppm,437 ppm,,,,12/02/2025 12:01:05 a. m.
858,,28.5 °C,18.6 °C,14.1 °C,41.6 %,1 ppm,441 ppm,,,,12/02/2025 12:02:05 a. m.
859,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,441 ppm,,,,12/02/2025 12:03:05 a. m.
860,,28.5 °C,18.7 °C,14.2 °C,41.7 %,1 ppm,439 ppm,,,,12/02/2025 12:04:05 a. m.
861,,28.5 °C,18.6 °C,14.1 °C,41.6 %,1 ppm,442 ppm,,,,12/02/2025 12:05:05 a. m.
862,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,444 ppm,,,,12/02/2025 12:06:05 a. m.
863,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,439 ppm,,,,12/02/2025 12:07:05 a. m.
864,,28.5 °C,18.7 °C,14.2 °C,41.7 %,1 ppm,438 ppm,,,,12/02/2025 12:08:05 a. m.
865,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,436 ppm,,,,12/02/2025 12:09:05 a. m.
866,,28.5 °C,18.6 °C,14.1 °C,41.6 %,1 ppm,439 ppm,,,,12/02/2025 12:10:05 a. m.
867,,28.5 °C,18.7 °C,14.2 °C,41.7 %,1 ppm,442 ppm,,,,12/02/2025 12:11:05 a. m.
868,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,448 ppm,,,,12/02/2025 12:12:05 a. m.
869,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,441 ppm,,,,12/02/2025 12:13:05 a. m.
870,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,438 ppm,,,,12/02/2025 12:14:05 a. m.
871,,28.5 °C,18.7 °C,14.2 °C,41.6 %,0 ppm,446 ppm,,,,12/02/2025 12:15:05 a. m.
872,,28.5 °C,18.7 °C,14.2 °C,41.7 %,1 ppm,440 ppm,,,,12/02/2025 12:16:05 a. m.
873,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,450 ppm,,,,12/02/2025 12:17:05 a. m.
874,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,435 ppm,,,,12/02/2025 12:18:05 a. m.
875,,28.5 °C,18.6 °C,14.1 °C,41.6 %,0 ppm,446 ppm,,,,12/02/2025 12:19:05 a. m.
876,,28.5 °C,18.7 °C,14.2 °C,41.7 %,1 ppm,447 ppm,,,,12/02/2025 12:20:05 a. m.
877,,28.5 °C,18.7 °C,14.2 °C,41.7 %,1 ppm,424 ppm,,,,12/02/2025 12:21:05 a. m.
878,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,444 ppm,,,,12/02/2025 12:22:05 a. m.
879,,28.5 °C,18.7 °C,14.2 °C,41.7 %,1 ppm,439 ppm,,,,12/02/2025 12:23:05 a. m.
880,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,439 ppm,,,,12/02/2025 12:24:05 a. m.
881,,28.5 °C,18.7 °C,14.2 °C,41.6 %,1 ppm,440 ppm,,,,12/02/2025 12:25:05 a. m.
882,,28.4 °C,18.6 °C,14.1 °C,41.7 %,1 ppm,448 ppm,,,,12/02/2025 12:26:05 a. m.
